Bank	Prg.	Name		
3	2	Lemon Twist	
3	3	Fake Arp	
3	4	Tekk-notion	
3	5	D.C.    FB	
3	6	Solid Bottom FB	
3	7	ElectronnFB	
3	8	Coil Core  FB	
3	9	Video Beatz	
3	10	Fatso	
3	11	Bustle	
3	12	Alternative	
3	13	CrawlInMySkinFB	
3	14	Steam-Powered	
3	15	LoFi Rhythm	
3	16	Apprentice	
3	17	Plutonium Mine	
3	18	Marathon	
3	19	Bassic	
3	20	Latent Bass FB	
3	21	Rezidiv  FB	
3	22	Old School	
3	23	InsectLead FB	
3	24	BoingBoingFB	
3	25	Simplesizer FB	
3	26	Scratcher	
3	27	Hands-On	
3	28	PeeWeeEmm	
3	29	2-pole-brassy	
3	30	GlassRub	
3	31	FlexiBell	
3	32	ResoPWM  FB	
3	33	VeloSyncer	
3	34	AttakSub	
3	35	Rezotator	
3	36	ClickyWheels	
3	37	3-storied	
3	38	Chip Lead	
3	39	Loaded Full FB	
3	40	PressureBass FB	
3	41	Groundloop  FB	
3	42	Space House	
3	43	CannedRhythm	
3	44	Hold&Sample	
3	45	Staccato	
3	46	RetroMoPho	
3	47	CurtiSquare	
3	48	DustyCircuitBell	
3	49	Raspy	
3	50	Shattering FB	
3	51	Popa Joey	
3	52	Space Pong FB	
3	53	Chillmatrix	
3	54	Generator	
3	55	Cold Turkey FB	
3	56	Brat	
3	57	Ignition	
3	58	Spit 'n Spank	
3	59	Machine	
3	60	Overclock	
3	61	SteppyDrone FB	
3	62	Mini Amp	
3	63	InverseTriadFB	
3	64	The Real Thing	
3	65	Axis	
3	66	PercuLoop  FB	
3	67	Suspicious	
3	68	Weirdomat	
3	69	Juggernaut FB	
3	70	MightyTouchy	
3	71	Tertianus	
3	72	Thereminna	
3	73	Ion Trails	
3	74	MoPhat	
3	75	Mo Tuba	
3	76	Snapper  FB	
3	77	Perpendicular	
3	78	Hyde Park	
3	79	Remastered	
3	80	TapeVox	
3	81	25%InputGain FB	
3	82	Glockenz	
3	83	Playerz 5th	
3	84	GameboyLead	
3	85	Still Nice	
3	86	Thoroughlead	
3	87	Unpredictable FM	
3	88	Tormentor	
3	89	Breed	
3	90	Rubens-Bass FB	
3	91	Rap-It	
3	92	Pesky Lead	
3	93	Lamento	
3	94	AM-Bass	
3	95	Sparkplug	
